level,ido,hossz,megoldas,probalkozasok,probalkozas_ido
01.txt,0.001,14,UURUULDDDDRDLL,12,0.002
02.txt,0.001,25,DDDDDLUURULDLUUDRRUULLLLL,1,0.001
03.txt,0.001,19,DLLULDRDLLLRDDLLUUU,2,0.0266
04.txt,0.001,12,LDDRRRURULLL,1,0.001
05.txt,0.0,15,LLULLUURDRUULUR,2,0.0
06.txt,0.0,2,DR,3,0.0
07.txt,0.0,13,RRRRULLDLURUL,5,0.001
08.txt,0.0,7,LDDRURD,1,0.0
09.txt,0.0023,30,RULUULLDDDDDUUUUURRDDLRUULLDDD,3,0.0023
10.txt,0.0,6,RRDRUU,7,0.001
11.txt,0.001,8,RDLLLDLU,3,0.001
12.txt,0.0,27,LLLLUULLUURRRDRRUULDDRDLLLL,5,0.0022
13.txt,0.0,10,RRDDLDRURD,13,0.002
14.txt,0.001,10,RRUULDDRDL,11,0.0046
15.txt,0.001,11,RRRRULLDLUU,5,0.002
16.txt,0.0,19,RRDDDDDLLLLLUUURRRR,12,0.002
17.txt,0.001,3,UUU,2,0.001
18.txt,0.0178,38,LULLLDDDDRDDLLURDRUULURDRURRDDLUUUURUL,6,0.0202
19.txt,0.0014,9,LULDDLDRR,6,0.0014
20.txt,0.0011,9,LUUUUURUL,2,0.0011
21.txt,0.2016,63,RUUULLLULDDDLDRRLUUUURURRUULLLLDDRRRLLLDUUURRRRDDDRDLLLULDDDLUU,53,1.427
22.txt,0.3499,61,LULDLDDDDRULURDRUUUULURDRUDDDRRRURDDLLULLLDLULURUUULDDDRDRUUU,161,18.4057
23.txt,0.119,25,ULLLDUURLURRRRLLDLUUULULD,239,39.8418
24.txt,0.1859,59,UURUUUULDUURRRLLDDDRDLDLDDRRRRUULLLLDLUUUUDRURDLUUULLDRURDD,220,25.904
25.txt,0.2132,98,URULLULDRRRRRRULLLLLLRRRDDDDDDDRRULDLUUURDDRRULLULULUURRDLLULLDDUURRDLRRDDRDDLUUULUURRDLLULLDURRDL,29,0.8866
26.txt,0.174,77,UUUUURDDDDDLLUUULLLLLURRRRURDDDDUULLLLLDDRULUURRDLULDDDDRDDRLUUUUURRRRDDLDDRU,276,30.1489
27.txt,0.6329,72,RDDDDRDRUURULLDLUURULLLLURDRRDDDLDLLLUURDLDRRRRRDRUURULLDLUUUULRRULLLLDR,29,1.668
28.txt,0.1038,57,LUULURDDDLDLUURRRDRRRRULULDRDLLDLULUURULURLDDDDRUULLULURR,40,0.928
29.txt,0.1654,73,LDDDDRRRRUUUDDDDLULLDDRULURRDRUUUDRRRUULUULLLRRDLLDDRULULDLLUURDLDRURRDRU,35,1.1646
30.txt,0.2137,70,LDDLLUURRRLDDDLDRRRRRURDDDUULLDRURDLLULLLLDDRDRRUURULLLRRDDDLLLUUULURR,88,9.7356
31.txt,0.6761,71,RURRDLLDLUUULLUURUULDDDDUUURRRRRURRDDLURULLLDLLLLDDDRRUULURDDDDRRULDLUU,112,1.2184
32.txt,0.1364,84,DRDDRRULRRRUUUULDLDRURDDRDLDLLLLLLUURRDDRDLURRRRULLLRRRUULLUULULLDRRRURDDLDRURDDRDLL,103,7.4355
33.txt,0.1397,39,RUUULDDDDLDLLURURDUUUUUURRDDDDLDDRRULLL,170,4.3932
34.txt,0.9672,68,LLLLUUURRRDRUDDDLUURULLLLDLLDDRRRLLLLUUUURDURDDRDDRRDRRUULDRDLUUUURU,39,3.1557
35.txt,1.9147,82,RDDDRRRDRRRUULDRDLLLLDLULUUURRRURRDDDRDLLLULDDLDDRRULRULLDUURRLULDLUUULURDRRURRRDL,71,2.7693
36.txt,0.4197,73,LDDDLLLLULLDDRUUDDDRUUUUUULURRLDDDDLUUURDDDDRRURDRRUULDRDLLLLLDLURUUUUURR,16,0.4896
37.txt,0.7049,81,LUUDDRRUUULULDDDLLLUULDLUUURDDLDRURDLDRRLLUUUURRRRRRRDLLDLUDDDDLURDRDDLURULULLLLD,226,17.2676
38.txt,0.3453,52,UURRULUURRDLLULDDDDDDRRDRRURRRDRULLUUUULLULLLUURRRRR,194,41.8035
39.txt,2.0544,101,DDLLLLDLUUULURRRRDRULURRLDDRRRDDDDDLUURULLLLLLDLUUULURRRRDRUULURLDDLLDDDDDRRUDLLUUUURRRRDDLLLLULDDRDL,647,124.6657
40.txt,0.5864,67,UUURRLLDDRUULURRDRURRDULULDDRDRUDRURDDULLLLUUULDLLLUURDURDLDRRLDDLU,96,15.487
41.txt,0.3538,56,LLLLUULURRDLDRRRLLLLLLDDRRRRRDRUULLLLULLURDRRUULDRDLLULD,117,15.4431
42.txt,1.232,65,DDDDRRRLLLUUUURRDRRDDDDRDLLLUURRUUUURUULDDRDLLRUUULLLLDLDLLURRDRU,30,7.3868
43.txt,4.8419,69,LLLDRRRURDLLLUUUULDDUUURDRRRRRRUULDRDLLLLLDLLURRRRRRLLLLLUURDDDDLDDLU,21,17.0981
44.txt,0.4769,82,RRDDDDRDRRULLDLUUDRRRRUULDRDLLLLRRRUUUUULURURRDDLLLLLLLULDDRRRDDLLDDDRURRRRUUUUUUR,13,0.4881
45.txt,0.5918,58,DDRRULLDLUUULULDRRRULDLDDLLURDDDRURDDDLLDLLURRRURRDLULUUUU,79,29.7304
